Date : 2022-03-10 16:47:02
Directory : /Users/tsubasa/Desktop/dev/fbe/homepage
Total : 102 files,  13700 codes, 1124 comments, 1542 blanks, all 16366 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| /Users/tsubasa/Desktop/dev/fbe/homepage/components/scss/ImageSection.module.scss    | SCSS               |         23 |          2 |          3 |         28 |
| /Users/tsubasa/Desktop/dev/fbe/homepage/components/scss/LinedLink.module.scss       | SCSS               |          9 |          0 |          3 |         12 |
| /Users/tsubasa/Desktop/dev/fbe/homepage/components/scss/Link.module.scss            | SCSS               |          9 |          0 |          2 |         11 |
| /Users/tsubasa/Desktop/dev/fbe/homepage/components/scss/LinkButton.module.scss      | SCSS               |         27 |          0 |          5 |         32 |
| /Users/tsubasa/Desktop/dev/fbe/homepage/components/scss/Modal.module.scss           | SCSS               |         18 |          0 |          5 |         23 |
| /Users/tsubasa/Desktop/dev/fbe/homepage/components/scss/Section.module.scss         | SCSS               |         25 |          1 |          6 |         32 |
| /Users/tsubasa/Desktop/dev/fbe/homepage/components/scss/SideBar.module.scss         | SCSS               |         30 |          0 |          4 |         34 |
| /Users/tsubasa/Desktop/dev/fbe/homepage/components/scss/SkeletonSection.module.scss | SCSS               |         11 |          0 |          4 |         15 |
| /Users/tsubasa/Desktop/dev/fbe/homepage/components/scss/ToFBE.module.scss           | SCSS               |         21 |          0 |         10 |         31 |
| /Users/tsubasa/Desktop/dev/fbe/homepage/components/scss/TopSection.module.scss      | SCSS               |         11 |          1 |          5 |         17 |
| /Users/tsubasa/Desktop/dev/fbe/homepage/datasets/docs/docs.json                     | JSON               |         80 |          0 |          0 |         80 |
| /Users/tsubasa/Desktop/dev/fbe/homepage/datasets/docs/exetype.md                    | Markdown           |         10 |          1 |         13 |         24 |
| /Users/tsubasa/Desktop/dev/fbe/homepage/datasets/docs/exetype_msgbox.md             | Markdown           |          8 |          0 |         10 |         18 |
| /Users/tsubasa/Desktop/dev/fbe/homepage/datasets/docs/exetype_table.md              | Markdown           |         21 |          3 |         25 |         49 |
| /Users/tsubasa/Desktop/dev/fbe/homepage/datasets/docs/exetype_terminal.md           | Markdown           |         16 |          3 |         19 |         38 |
| /Users/tsubasa/Desktop/dev/fbe/homepage/datasets/docs/operation.md                  | Markdown           |        167 |          2 |        137 |        306 |
| /Users/tsubasa/Desktop/dev/fbe/homepage/datasets/docs/symbols.md                    | Markdown           |         26 |          0 |         33 |         59 |
| /Users/tsubasa/Desktop/dev/fbe/homepage/datasets/docs/symbols_calc.md               | Markdown           |         44 |          4 |         31 |         79 |
| /Users/tsubasa/Desktop/dev/fbe/homepage/datasets/docs/symbols_flow.md               | Markdown           |         25 |          4 |         30 |         59 |
| /Users/tsubasa/Desktop/dev/fbe/homepage/datasets/docs/symbols_for.md                | Markdown           |         27 |          1 |         25 |         53 |
| /Users/tsubasa/Desktop/dev/fbe/homepage/datasets/docs/symbols_if.md                 | Markdown           |         17 |          1 |         20 |         38 |
| /Users/tsubasa/Desktop/dev/fbe/homepage/datasets/docs/symbols_input.md              | Markdown           |         14 |          8 |         18 |         40 |
| /Users/tsubasa/Desktop/dev/fbe/homepage/datasets/docs/symbols_output.md             | Markdown           |         17 |          1 |         21 |         39 |
| /Users/tsubasa/Desktop/dev/fbe/homepage/datasets/docs/symbols_prepare.md            | Markdown           |         30 |          1 |         25 |         56 |
| /Users/tsubasa/Desktop/dev/fbe/homepage/datasets/docs/symbols_process.md            | Markdown           |         19 |          1 |         18 |         38 |
| /Users/tsubasa/Desktop/dev/fbe/homepage/datasets/docs/symbols_switch.md             | Markdown           |         22 |          1 |         26 |         49 |
| /Users/tsubasa/Desktop/dev/fbe/homepage/datasets/docs/symbols_terminal_end.md       | Markdown           |         20 |          1 |         20 |         41 |
| /Users/tsubasa/Desktop/dev/fbe/homepage/datasets/docs/symbols_terminal_start.md     | Markdown           |         18 |          1 |         20 |         39 |
| /Users/tsubasa/Desktop/dev/fbe/homepage/datasets/docs/symbols_while.md              | Markdown           |         14 |          1 |         18 |         33 |
| /Users/tsubasa/Desktop/dev/fbe/homepage/datasets/getstart/edit.md                   | Markdown           |        162 |          1 |        104 |        267 |
| /Users/tsubasa/Desktop/dev/fbe/homepage/datasets/getstart/execute.md                | Markdown           |         84 |         26 |         91 |        201 |
| /Users/tsubasa/Desktop/dev/fbe/homepage/datasets/getstart/getstart.json             | JSON               |         20 |          0 |          1 |         21 |
| /Users/tsubasa/Desktop/dev/fbe/homepage/datasets/getstart/introduction.md           | Markdown           |         51 |          0 |         38 |         89 |
| /Users/tsubasa/Desktop/dev/fbe/homepage/datasets/getstart/saving.md                 | Markdown           |         43 |          0 |         35 |         78 |
| /Users/tsubasa/Desktop/dev/fbe/homepage/datasets/getstart/test.md                   | Markdown           |         22 |          0 |          7 |         29 |
| /Users/tsubasa/Desktop/dev/fbe/homepage/datasets/pages.ts                           | TypeScript         |         23 |          5 |          7 |         35 |
| /Users/tsubasa/Desktop/dev/fbe/homepage/image/bg-top.svg                            | SVG                |          5 |          0 |          0 |          5 |
| /Users/tsubasa/Desktop/dev/fbe/homepage/image/index.ts                              | TypeScript         |         18 |          0 |          3 |         21 |
| /Users/tsubasa/Desktop/dev/fbe/homepage/image/vercel.svg                            | SVG                |          6 |          0 |          1 |          7 |
| /Users/tsubasa/Desktop/dev/fbe/homepage/lib/classNames.ts                           | TypeScript         |         21 |         13 |          3 |         37 |
| /Users/tsubasa/Desktop/dev/fbe/homepage/lib/conf.ts                                 | TypeScript         |          5 |          0 |          4 |          9 |
| /Users/tsubasa/Desktop/dev/fbe/homepage/lib/docs.ts                                 | TypeScript         |        103 |          4 |          6 |        113 |
| /Users/tsubasa/Desktop/dev/fbe/homepage/lib/getstart.ts                             | TypeScript         |         81 |          3 |         11 |         95 |
| /Users/tsubasa/Desktop/dev/fbe/homepage/lib/gtag.ts                                 | TypeScript         |         22 |          4 |          6 |         32 |
| /Users/tsubasa/Desktop/dev/fbe/homepage/lib/hooks/useBoolState.ts                   | TypeScript         |         14 |          0 |          5 |         19 |
| /Users/tsubasa/Desktop/dev/fbe/homepage/lib/hooks/useClasses.tsx                    | TypeScript React   |         42 |          0 |          2 |         44 |
| /Users/tsubasa/Desktop/dev/fbe/homepage/lib/hooks/useScroll.tsx                     | TypeScript React   |         14 |          0 |          3 |         17 |
| /Users/tsubasa/Desktop/dev/fbe/homepage/lib/mymarkdown/index.module.scss            | SCSS               |         88 |          0 |         19 |        107 |
| /Users/tsubasa/Desktop/dev/fbe/homepage/lib/mymarkdown/index.tsx                    | TypeScript React   |        136 |          1 |          9 |        146 |
| /Users/tsubasa/Desktop/dev/fbe/homepage/lib/releases.ts                             | TypeScript         |          5 |          0 |          4 |          9 |
| /Users/tsubasa/Desktop/dev/fbe/homepage/next-env.d.ts                               | TypeScript         |          0 |          5 |          2 |          7 |
| /Users/tsubasa/Desktop/dev/fbe/homepage/next-sitemap.js                             | JavaScript         |          5 |          0 |          2 |          7 |
| /Users/tsubasa/Desktop/dev/fbe/homepage/next.config.js                              | JavaScript         |         10 |          7 |          3 |         20 |
| /Users/tsubasa/Desktop/dev/fbe/homepage/package-lock.json                           | JSON               |      8,574 |          0 |          1 |      8,575 |
