"filename", "language", "JSON", "TypeScript React", "SCSS", "JavaScript React", "JSON with Comments", "TypeScript", "JavaScript", "XML", "HTML", "Markdown", "SVG", "comment", "blank", "total"
"/Users/tsubasa/Desktop/dev/fbe/homepage/components/scss/SideBar.module.scss", "SCSS", 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 34
"/Users/tsubasa/Desktop/dev/fbe/homepage/components/scss/SkeletonSection.module.scss", "SCSS", 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 15
"/Users/tsubasa/Desktop/dev/fbe/homepage/components/scss/ToFBE.module.scss", "SCSS", 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 31
"/Users/tsubasa/Desktop/dev/fbe/homepage/components/scss/TopSection.module.scss", "SCSS", 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 17
"/Users/tsubasa/Desktop/dev/fbe/homepage/datasets/docs/docs.json", "JSON", 80, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 80
"/Users/tsubasa/Desktop/dev/fbe/homepage/datasets/docs/exetype.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 1, 13, 24
"/Users/tsubasa/Desktop/dev/fbe/homepage/datasets/docs/exetype_msgbox.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 10, 18
"/Users/tsubasa/Desktop/dev/fbe/homepage/datasets/docs/exetype_table.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 3, 25, 49
"/Users/tsubasa/Desktop/dev/fbe/homepage/datasets/docs/exetype_terminal.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 3, 19, 38
"/Users/tsubasa/Desktop/dev/fbe/homepage/datasets/docs/operation.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 167, 0, 2, 137, 306
"/Users/tsubasa/Desktop/dev/fbe/homepage/datasets/docs/symbols.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 0, 0, 33, 59
"/Users/tsubasa/Desktop/dev/fbe/homepage/datasets/docs/symbols_calc.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 44, 0, 4, 31, 79
"/Users/tsubasa/Desktop/dev/fbe/homepage/datasets/docs/symbols_flow.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 0, 4, 30, 59
"/Users/tsubasa/Desktop/dev/fbe/homepage/datasets/docs/symbols_for.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 0, 1, 25, 53
"/Users/tsubasa/Desktop/dev/fbe/homepage/datasets/docs/symbols_if.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 0, 1, 20, 38
"/Users/tsubasa/Desktop/dev/fbe/homepage/datasets/docs/symbols_input.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 0, 8, 18, 40
"/Users/tsubasa/Desktop/dev/fbe/homepage/datasets/docs/symbols_output.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 0, 1, 21, 39
"/Users/tsubasa/Desktop/dev/fbe/homepage/datasets/docs/symbols_prepare.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 0, 1, 25, 56
"/Users/tsubasa/Desktop/dev/fbe/homepage/datasets/docs/symbols_process.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 0, 1, 18, 38
"/Users/tsubasa/Desktop/dev/fbe/homepage/datasets/docs/symbols_switch.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 1, 26, 49
"/Users/tsubasa/Desktop/dev/fbe/homepage/datasets/docs/symbols_terminal_end.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 1, 20, 41
"/Users/tsubasa/Desktop/dev/fbe/homepage/datasets/docs/symbols_terminal_start.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 1, 20, 39
"/Users/tsubasa/Desktop/dev/fbe/homepage/datasets/docs/symbols_while.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 0, 1, 18, 33
"/Users/tsubasa/Desktop/dev/fbe/homepage/datasets/getstart/edit.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 162, 0, 1, 104, 267
"/Users/tsubasa/Desktop/dev/fbe/homepage/datasets/getstart/execute.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 84, 0, 26, 91, 201
